CASE1,CASE2,CASE3,CASE4
1440.3,1440.3,1458.1,1457.8
1440.3,1440.3,1458.1,1457.9
1440.2,1440.2,1458.1,1457.8
1440.2,1440.2,1458.1,1457.3
1440.1,1440.1,1458,1456.2
1440,1440,1457.8,1454.7
1440,1440,1457.4,1453.1
1439.9,1439.9,1456.9,1451.8
1439.9,1439.9,1456.5,1451.2
1439.9,1439.9,1456.3,1451.7
1439.9,1439.9,1456.4,1453.1
1440,1440,1456.6,1455.1
1440.1,1440.1,1456.8,1457.2
1440.2,1440.2,1457,1458.9
1440.3,1440.3,1457.2,1459.8
1440.5,1440.5,1457.5,1459.9
1440.6,1440.6,1458,1459.3
1440.7,1440.7,1458.5,1457.9
1440.7,1440.7,1459.1,1456
1440.8,1440.8,1459.4,1454
1440.8,1440.8,1459.6,1451.9
1440.8,1440.8,1459.5,1450
1440.8,1440.8,1459.3,1448.6
1440.8,1440.8,1459.1,1447.8
1440.7,1440.7,1458.9,1447.3
1440.6,1440.6,1458.6,1447.3
1440.6,1440.6,1458.3,1448
1440.5,1440.5,1457.8,1449.3
1440.4,1440.4,1457.3,1450.8
1440.4,1440.4,1456.9,1452.6
1440.3,1440.3,1456.6,1454.3
1440.2,1440.2,1456.4,1455.6
1440.1,1440.1,1456.3,1456.4
1440,1440,1456.3,1456.9
1439.9,1439.9,1456.3,1457.3
1439.8,1439.8,1456.4,1457.6
1439.7,1439.7,1456.6,1457.7
1439.6,1439.6,1456.8,1457.8
1439.5,1439.5,1457.2,1457.7
1439.5,1439.5,1457.5,1457.5
1439.5,1439.5,1457.7,1457.3
1439.5,1439.5,1457.8,1457.2
1439.6,1439.6,1457.8,1457.2
1439.6,1439.6,1457.8,1457.2
1439.6,1439.6,1457.8,1457.2
1439.7,1439.7,1457.8,1457.3
1439.7,1439.7,1457.9,1457.4
1439.7,1439.7,1457.9,1457.4
1439.7,1439.7,1457.9,1457.3
1439.7,1439.7,1458,1457.1
1439.7,1439.7,1458.1,1456.7
1439.8,1439.8,1458.4,1456
1439.9,1439.9,1458.7,1455
1440,1440,1459,1453.9
1440.1,1440.1,1459.1,1452.7
1440.1,1440.1,1459.1,1452.6
1440.2,1440.2,1458.9,1453.5
1440.2,1440.2,1458.6,1454.7
1440.2,1440.2,1458.3,1456.1
1440.3,1440.3,1458.1,1457.8
1440.3,1440.3,1457.9,1458.5
1440.4,1440.4,1457.6,1458.4
1440.4,1440.4,1457.2,1458.2
1440.5,1440.5,1456.9,1458.1
1440.5,1440.5,1456.6,1458.1
1440.5,1440.5,1456.5,1458.2
1440.6,1440.6,1456.5,1458.3
1440.6,1440.6,1456.8,1458.4
1440.6,1440.6,1457,1458.5
1440.6,1440.6,1457.1,1458.3
1440.6,1440.6,1457,1457.9
1440.6,1440.6,1456.7,1457.6
1440.6,1440.6,1456.3,1457.3
1440.6,1440.6,1455.8,1457.2
1440.7,1440.7,1455.3,1457.3
1440.6,1440.6,1454.8,1457.3
1440.6,1440.6,1454.2,1457.1
1440.6,1440.6,1453.5,1456.3
1440.6,1440.6,1452.7,1455.2
1440.5,1440.5,1452.1,1453.8
1440.5,1440.5,1451.8,1452.5
1440.5,1440.5,1451.8,1451.5
1440.4,1440.4,1452,1451.1
1440.4,1440.4,1452.3,1451.3
1440.4,1440.4,1452.5,1451.7
1440.3,1440.3,1452.6,1452
1440.2,1440.2,1452.6,1452.3
1440.2,1440.2,1452.5,1452.6
